ParticipantID,Trial,FixationNo,StartTime,EndTime,Duration,PositionX,PositionY,PupilSize,EyeUsed,Order,Task
elisius1,1,1,4,106,104,755.3,423.9,5016,RIGHT,1,Searching
elisius1,1,2,144,356,214,799,346.8,4789,RIGHT,1,Searching
elisius1,1,3,404,626,224,894.9,569,4677,RIGHT,1,Searching
elisius1,1,4,656,806,152,994.4,677.1,4663,RIGHT,1,Searching
elisius1,1,5,858,1066,210,557.8,761.9,4643,RIGHT,1,Searching
elisius1,1,6,1104,1262,160,348.9,578.7,4532,RIGHT,1,Searching
elisius1,1,7,1308,1452,146,170,660.7,4480,RIGHT,1,Searching
elisius1,1,8,1492,1698,208,472.7,718.5,4578,RIGHT,1,Searching
elisius1,1,9,1722,1814,94,524.4,734.4,4560,RIGHT,1,Searching
elisius1,1,10,1854,2000,148,779.3,497.5,4546,RIGHT,1,Searching
elisius1,1,11,2052,2316,266,1406.7,716,4552,RIGHT,1,Searching
elisius1,1,12,2344,2782,440,1516.6,643.5,4535,RIGHT,1,Searching
elisius1,1,13,2812,3032,222,1474.5,520.6,4567,RIGHT,1,Searching
elisius1,1,14,3052,3142,92,1464.8,479.1,4574,RIGHT,1,Searching
elisius1,1,15,3208,3506,300,692.4,552.8,4735,RIGHT,1,Searching
elisius1,1,16,3548,3668,122,1000.1,642.9,4803,RIGHT,1,Searching
elisius1,1,17,3692,3936,246,926.8,598.4,4795,RIGHT,1,Searching
elisius1,1,18,3966,4194,230,730.8,673.1,4722,RIGHT,1,Searching
elisius1,1,19,4242,4438,198,460.5,732.6,4781,RIGHT,1,Searching
elisius1,1,20,4482,4542,62,758.1,758.9,4749,RIGHT,1,Searching
elisius1,1,21,4594,4822,230,449.5,582.7,4807,RIGHT,1,Searching
elisius1,1,22,4862,5172,312,641.9,541.5,4790,RIGHT,1,Searching
elisius1,1,23,5236,5444,210,240.8,721.4,4864,RIGHT,1,Searching
elisius1,1,24,5454,5618,166,257.3,708,4938,RIGHT,1,Searching
elisius1,1,25,5648,5918,272,265.8,540.1,4756,RIGHT,1,Searching
elisius1,1,26,5984,6168,186,128.5,916.9,4840,RIGHT,1,Searching
elisius1,1,27,6186,6276,92,150.5,944,4965,RIGHT,1,Searching
elisius1,1,28,6330,6642,314,502.8,481,5029,RIGHT,1,Searching
elisius1,1,29,6710,6922,214,1399.7,771,4995,RIGHT,1,Searching
elisius1,1,30,6964,7350,388,1244.6,773.9,5084,RIGHT,1,Searching
elisius1,1,31,7376,7546,172,1291.8,846,4900,RIGHT,1,Searching
elisius1,1,32,7564,7636,74,1336.9,808.9,4903,RIGHT,1,Searching
elisius1,1,33,7658,7746,90,1316.6,776.3,4905,RIGHT,1,Searching
elisius1,1,34,7792,8004,214,1340.9,952.2,4850,RIGHT,1,Searching
elisius1,1,35,8018,8432,416,1329,971.6,4982,RIGHT,1,Searching
elisius1,1,36,8488,8752,266,984.8,632.6,4998,RIGHT,1,Searching
elisius1,1,37,8784,9100,318,797.5,699.3,4865,RIGHT,1,Searching
elisius1,1,38,9150,9378,230,477.2,739.6,4847,RIGHT,1,Searching
elisius1,1,39,9414,9744,332,492.6,564.7,4857,RIGHT,1,Searching
elisius1,1,40,9774,9914,142,341.2,496,4872,RIGHT,1,Searching
elisius1,1,41,9936,10116,182,400.4,493.6,4889,RIGHT,1,Searching
elisius1,1,42,10166,10358,194,229.3,690.7,4928,RIGHT,1,Searching
elisius1,1,43,10380,10628,250,285.5,655.5,4937,RIGHT,1,Searching
elisius1,1,44,10702,10966,266,1365.9,662.8,4703,RIGHT,1,Searching
elisius1,1,45,10990,11308,320,1385,609.7,4740,RIGHT,1,Searching
