ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeUsed,Order,Task
elisius1,1,1,108,142,36,756.1,424.8,800.8,348.3,203.76,90.43,FALSE,UP,"2,20",RIGHT,1,Searching
elisius1,1,2,358,402,46,795.7,349.6,893.3,544,391.89,147.48,FALSE,DOWN,"5,41",RIGHT,1,Searching
elisius1,1,3,628,654,28,897.7,569.2,997.7,692.1,269.33,135.23,FALSE,DOWN,"3,68",RIGHT,1,Searching
elisius1,1,4,808,856,50,995.9,675.7,589.1,755.7,468.76,192.4,FALSE,LEFT,"8,51",RIGHT,1,Searching
elisius1,1,5,1068,1102,36,559.1,763.3,357.9,581.2,273.77,165.51,FALSE,UP,"6,01",RIGHT,1,Searching
elisius1,1,6,1264,1306,44,349.3,579.9,187,649.8,301.44,118.42,FALSE,LEFT,"3,65",RIGHT,1,Searching
elisius1,1,7,1454,1490,38,170.6,659,467.5,717.4,332,160.04,FALSE,RIGHT,"6,05",RIGHT,1,Searching
elisius1,1,8,1700,1720,22,472.6,717.6,531.7,731.1,97.15,59.78,FALSE,RIGHT,"1,24",RIGHT,1,Searching
elisius1,1,9,1816,1852,38,524.3,734.5,758.5,495.6,374.42,206.51,FALSE,UP,"7,64",RIGHT,1,Searching
elisius1,1,10,2002,2050,50,780.1,496.1,1401.2,706,560.39,281.1,FALSE,RIGHT,"13,65",RIGHT,1,Searching
elisius1,1,11,2318,2342,26,1406.5,712.7,1489.1,646.3,152.23,96.88,FALSE,RIGHT,"2,28",RIGHT,1,Searching
elisius1,1,12,2784,2810,28,1513.3,650.2,1479.8,507.6,243.33,126.64,FALSE,UP,"3,55",RIGHT,1,Searching
elisius1,1,13,3034,3050,18,1476.3,516.4,1460.9,471.9,91.47,58.6,FALSE,UP,"1,15",RIGHT,1,Searching
elisius1,1,14,3144,3206,64,1463.6,478.9,712.7,549.7,580.6,261.07,FALSE,LEFT,"15,41",RIGHT,1,Searching
elisius1,1,15,3508,3546,40,689.3,549.3,998.3,639,320.25,174.72,FALSE,RIGHT,"6,79",RIGHT,1,Searching
elisius1,1,16,3670,3690,22,1001.3,644.3,928.7,596.9,143.41,85.7,FALSE,LEFT,"1,91",RIGHT,1,Searching
elisius1,1,17,3938,3964,28,929.2,601.2,725.4,680.2,332.53,164.33,FALSE,LEFT,"4,64",RIGHT,1,Searching
elisius1,1,18,4196,4240,46,727.7,675.1,482.6,729.7,350.44,141.36,FALSE,LEFT,"5,16",RIGHT,1,Searching
elisius1,1,19,4440,4480,42,457.2,734.2,762.8,754.4,264.35,151.35,FALSE,RIGHT,"6,20",RIGHT,1,Searching
